Candidate Name,Website,Facebook,Twitter,Instagram,City,State,Name of race
Dr. Jared Williams,https://www.drjaredwilliams.com/,https://www.facebook.com/drjaredwilliams,https://twitter.com/drjared4fw,https://www.instagram.com/drjaredwilliams/,,TX,"Fort Worth City Council, District 6"
Nick Beaven,https://www.nickforwyandotte.com,,,,,MI,Wyandotte City Council
Ali Ramos,https://aliforamarillo.com,https://www.facebook.com/aliforamarillo,,,,TX,"Amarillo City Council, District 13"
Mary D. Harris,https://marydanielleharris.com,https://www.facebook.com/maryharristx/,https://twitter.com/maryharristx,https://www.instagram.com/marydharristx/,,TX,"Wylie City Council, Place 4"
Ariela Martinez,,https://www.facebook.com/arielaforcisd,,,,TX,"Castleberry ISD Board of Education, Place 3"
Junior Ezeonu,https://www.votejuniorezeonu.com,https://www.facebook.com/votejuniorezeonu,https://twitter.com/callmejre,https://www.instagram.com/callmejre,,TX,"Grand Prairie City Council, Place 8"
Kassandra Timothe,https://kassandratimothe.com/,https://www.facebook.com/ktfornomi,https://twitter.com/kassandrat2021,https://www.instagram.com/kassandratimothe/,,FL,"North Miami City Council, District 2"
Jasmine L. Harris,https://www.voteforjasmine.com,https://www.facebook.com/jasmineformayor,https://twitter.com/jasmineformayor,https://www.instagram.com/jasminelharris/,,NE,Mayor of Omaha
Erica Spann,http://www.voteericaspann.org,https://www.facebook.com/voteericaspann,,https://www.instagram.com/voteericaspann/,,MA,Ayer-Shirley Regional School District Committee
Sherlyna Hanna,https://www.hannaforhyattsville.com,https://www.facebook.com/search/top?q=sherlyna%20hanna%20for%20hyattsville%20city%20council%20-%20ward%203,,https://www.instagram.com/hannaforhyattsville/,,MD,"Hyattsville City Council, Ward 3"
Adam Gutbezahl,https://adamforwayland.org,https://www.facebook.com/adamforwayland,,https://www.instagram.com/adamforwayland,,MA,Wayland Board of Selectmen
Kelly Mason,https://kellymason.nationbuilder.com,https://www.facebook.com/friendsofkellymason,,,,OR,"Springfield School District, Position 5"
Caseen Gaines,http://www.forhackensack.com,https://www.facebook.com/forhackensacksfuture,,https://www.instagram.com/forhackensack,,NJ,Hackensack City Council
Lawson Condrey,https://www.condreyforportland.com/,https://www.facebook.com/condrey4portland,,https://www.instagram.com/condrey4portland/,,ME,"Portland, Charter Commission, At-Large"
Alfredo HernÃ¡ndez,,https://www.facebook.com/hernandezncwpdr,,,,CA,"Westchester-Playa Del Rey Neighborhood Council, At-Large"
J. Manny Mahnesmith,,https://www.facebook.com/vote.manny.mahnesmith,,https://www.instagram.com/vote.4.manny/,,OR,"River Road Park & Recreation District Board, Position 5"
Amy Jimenez,https://amyjimenez.org/,https://www.facebook.com/amyjimenez310/,https://twitter.com/amyjime64306564,https://www.instagram.com/amyjimenez2021/,,CA,Mayor of Compton
James Aguilar,https://www.jamesforcalifornia.com,https://www.facebook.com/trusteejamesaguilar,https://twitter.com/iamjamesaguilar,https://www.instagram.com/iamjamesaguilar,,CA,"California Assembly, District 18"
Ryan Lizanecz,https://ryanforportland.com,https://www.facebook.com/ryanforportland/,https://twitter.com/ryanforportland,https://www.instagram.com/ryan4portland/,,ME,"Portland Charter Commissioner, District 5"
Alaina Reaves,https://www.alainaforclayton.com/,https://www.facebook.com/alainaforclayton,https://twitter.com/alainaforclayco,https://www.instagram.com/alainaforclayton/,,GA,"Clayton County Board of Commissioners, District 1"
Elizabeth Downing Wanczak,https://liz4alderman.com/,https://www.facebook.com/liz4alderman,https://twitter.com/liz4alderman,https://www.instagram.com/liz4alderman/,,TN,"Franklin Alderman, Ward 4"
